county,2018,2019,2020,2021,2022
Butte,187615.6332375,223068.96612,140355.0919875,175931.77074459998,186649.9278355
Colusa,48031.128014999995,28745.6509275,67349.798685,0,0
Del Norte,92455.5489975,109571.55261,96350.5944375,104941.678095,61985.287065
Fresno,1783127.2560917,1376351.7487825,1493617.5464222,1488283.0500768,1199700.3506319
Glenn,73705.6283925,58839.06054,98074.282605,8827.882245,94320.7150275
Imperial,523039.9622075,492678.221295,402815.83485,378520.795185,376923.31521000003
Kern,1899941.0884766,1566305.938665,1013666.41545,1157906.75949,1053982.961772
Kings,250937.160825,205627.34366850002,135753.17184,142056.12642000002,129055.2185325
Lake,962.614185,929.4206025,763.4525925,1550.222895,0
Los Angeles,0,0,14248.47333,0,7679.2445925
Madera,655448.1474606,318342.50253,642326.113355,536274.9595125,357993.3864975
Merced,1044731.7436725,1066752.3062235,1289477.578818,1180506.6809055,1074829.2162905
Modoc,29552.2056375,17003.04606,0,0,0
Monterey,480955.9713395,583102.2145085,736079.8121256,783508.2920488,869475.4504138
Napa,9908.33688,7966.46214,3319.359225,4023.7272075,24277.6364025
Orange,29776.245798,27681.2458884,39976.877655000004,19676.610252,33581.7401322
Placer,56661.462,23301.90174,2688.6809625,15633.1697925,0
Riverside,18987.6138392,47444.4305354,234437.1325084,0,72489.3074168
Sacramento,95495.48775,0,56617.36899,66715.8227775,223508.3513325
San Benito,32402.064779599998,3109.1392178,25295.3685773,16923.905641499998,8866.761384
San Diego,8247.539664,10614.672432,31168.2025785,65146.853245499995,7790.035595699999
San Joaquin,717570.555975,745989.2422245,1119881.025184,932826.5589825,602768.431553
San Luis Obispo,242791.5806031,323094.3851215,302638.9621398,288870.3815682,230941.2603471
San Mateo,12663.10773,0,5955.029535,5543.7896475,3859.3125675
Santa Barbara,565112.627205,496405.64233,449828.8117738,514103.6967713,519579.4690967
Santa Clara,60007.998549100004,22401.2402936,31875.992407,18353.7733141,17414.4017593
Santa Cruz,194454.6613475,228043.7820117,265314.6643433,239250.6946051,260932.2650799
Shasta,1488.1167405,4149.19908,11035.600017,0,0
Siskiyou,45102.148845,6539.6331,0,7458.2434875,21413.2780875
Solano,50293.646169,7617.4673250000005,1810.1659485,6304.1964960000005,3431.6567395
Sonoma,22571.147235,10256.720955,31318.2038325,35685.8432775,26813.8545675
Stanislaus,1341920.58468,1333209.5392749,982044.2996548,1306116.1328265,852639.5938679
Sutter,284536.464225,274165.5966075,243636.1295563,197107.6137027,230329.6882433
Tehama,214426.54340249998,349674.8750625,310174.73999750003,172602.24481499998,170189.6819025
Tulare,948242.8627003001,781284.0287737,776606.822823,570654.836076,495366.3977925
Ventura,294863.1679672,256635.4678518,289858.7575972,314415.6093073,308810.9942501
Yolo,9792.1097625,32905.827279,46172.286810000005,6433.6116974999995,39331.3754145
Yuba,118766.67309,197231.2719,142798.834035,169781.4719445,85406.9843178
Alameda,0,0,0,0,0
Alpine,0,0,0,0,0
Amador,0,0,0,0,0
Calaveras,0,0,0,0,0
Contra Costa,0,0,0,0,0
El Dorado,0,0,0,0,0
Humboldt,0,0,0,0,0
Inyo,0,0,0,0,0
Lassen,0,0,0,0,0
Marin,0,0,0,0,0
Mariposa,0,0,0,0,0
Mendocino,0,0,0,0,0
Mono,0,0,0,0,0
Nevada,0,0,0,0,0
Plumas,0,0,0,0,0
San Bernardino,0,0,0,0,0
San Francisco,0,0,0,0,0
Sierra,0,0,0,0,0
Trinity,0,0,0,0,0
Tuolumne,0,0,0,0,0
